Sr No	Token	Original Token	UPOS	EngPOS	SPOS	case	Gender	Number	Person	Morphology Form	Lema	pronunciation
1	يقين	يقين	NOUN	NN 	اسم  	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	يقين	yaqeen
2	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
3	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
4	اڪثر	اڪثر	ADV	RB 	ظرف			Number = Sing		Morphology Form = Simple	اڪثر	Aksar
5	ڌوڪو	ڌوڪو	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڌوڪو	dhoko
6	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
7	ملي	مل	VERB	VB 	فعل					Morphology Form = Bound	مل	Milay
8	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
9	.	.	PERIOD		پورو دم							Dot
1	وقت	وقت	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	وقت	Waqt
2	سدائين	سدا	ADV	RB 	ظرف					Morphology Form = Bound	سدائين	Sadaeen
3	هڪجھڙو	هڪ	ADJ	JJ 	صفت					Morphology Form = Bound	هڪجھڙو	Hikjehrro
4	ناهي	ناه	ADV	RB 	ظرف					Morphology Form = Bound	ناهي	Naahay
5	رهندو	ره	VERB	VBN 	فعل					Morphology Form = Bound	رهندو	Rahando
6	.	.	PERIOD		پورو دم							Dot
1	وڏن	وڏو	ADJ	JJ 	صفت	Case = Nom				Morphology Form = Bound	وڏو	waddan
2	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
3	ادب	ادب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ادب	Adab
4	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
5	هڪ	هڪ	NUM	CD 	صفت عددي					Morphology Form = Simple	هڪ	Hik
6	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
7	عمل	عمل	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	عمل	Amal
8	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
9	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
10	اسان	آءُ	PRON	PRP 	ضمير	Case = ACC				Morphology Form = Bound	اسان	Asaan
11	تي	تي	ADP	PRP 	حرفِ جر					Morphology Form = Simple	تي	Te
12	فرض	فرض	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	فرض	Faraz
13	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
14	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
15	.	.	PERIOD		پورو دم							Dot
1	وڌ	وڌ	ADJ	JJ 	صفت	Case = Nom				Morphology Form = Simple	وڌ	wadh
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	وڌ	وڌ	ADJ	JJ 	صفت					Morphology Form = Simple	وڌ	wadh
4	تعليم	تعليم	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	تعليم	Taaleem
5	حاصل	حاصل	NOUN	NN 	اسم	Case = Nom		Number = Sing		Morphology Form = Simple	حاصل	Haasil
6	ڪري	ڪر	VERB	VB 	فعل					Morphology Form = Bound	ڪر	karay
7	معاشري	معاشري	NOUN	NN 	اسم	Case = Nom		Number = Sing		Morphology Form = Bound	معاشري	Muaashiray
8	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
9	خوبصورت	خوبصورت	ADJ	JJ 	صفت	Case = ACC				Morphology Form = Bound	خوبصورت	Khoobsoorat
10	بڻايو	بڻاءِ	VERB	VBD 	فعل			Number = Sing	Person = 3	Morphology Form = Bound	بڻاءِ	Bannaayo
11	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو					Morphology Form = Simple	هي	He
2	وقت	وقت	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	وقت	Waqt
3	آرام	آرام	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	آرام	Aaraam
4	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هي	He
2	منهنجو	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجو	Muhnjo
3	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
4	هُو	هُو	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هُو	Hoo
5	تنهنجو	تنهنجو	PRON	PRP 	ضمير	Case = Possessive	Gender = Masc	Number = Sing		Morphology Form = Bound	تنهنجو	Tuhenjo
6	ڪتاب	ڪتاب	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪتاب	kitaab
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو					Morphology Form = Simple	هي	He
2	قلم	قلم	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	قلم	Qalam
3	تنهنجو	تنهنجو	PRON	PRP 	ضمير	Case = Possessive	Gender = Masc	Number = Sing		Morphology Form = Bound	تنهنجو	Tuhenjo
4	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
5	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
6	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
7	ڪتاب	ڪتاب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪتاب	kitaab
8	منهنجو	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجو	Muhnjo
9	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
10	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو					Morphology Form = Simple	هي	He
2	دور	دور	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دور	Daor
3	تعليم	تعليم	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	تعليم	Taaleem
4	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
5	دور	دور	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دور	Daor
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو					Morphology Form = Simple	هي	He
2	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
3	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
4	جنت	جنت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	جنت	Janat
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	هڪ	هڪ	NUM	CD 	صفت عددي					Morphology Form = Simple	هڪ	Hik
7	حسين	حسين	ADJ	JJ 	صفت	Case = Nom				Morphology Form = Simple	حسين	Hasseen
8	منظر	منظر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	منظر	Manzar
9	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
10	.	.	PERIOD		پورو دم							Dot
1	هي	هي	DET	DT 	ضمير اشارو					Morphology Form = Simple	هي	He
2	تنهنجو	تنهنجو	PRON	PRP 	ضمير	Case = Possessive	Gender = Masc	Number = Sing		Morphology Form = Bound	تنهنجو	Tuhenjo
3	ڪتاب	ڪتاب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪتاب	kitaab
4	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
5	.	.	PERIOD		پورو دم							Dot
1	هوءَ	هوءَ	DET	DT 	ضمير اشارو					Morphology Form = Bound	هوءَ	Hooa
